Precept1,Precept2,Precept3,REF,REFERENCE_NUMBER,ELEMENT_NAME,QUESTION,TYPE,LAW_OR_PRACTICE
NA,Precept 7:Revenue Distribution,Precept 8:Revenue Volatility,164,2.3.4c,SWF asset class disclosure,Does the sovereign wealth fund's most recent publicly available annual financial report specify the fund's†asset allocation by asset class?,QUESTION,Practice_Q
NA,Precept 7:Revenue Distribution,Precept 8:Revenue Volatility,149,2.3.4d,SWF national budget review practice,"From 2015 onwards, have withdrawals and spending from the sovereign wealth fund actually passed through the national budget?",QUESTION,Practice_Q
NA,Precept 7:Revenue Distribution,Precept 8:Revenue Volatility,156,2.3.4e,SWF asset class rule adherence,"From 2015 onwards, has the sovereign wealth fund adhered to rules limiting asset class or investment types?",QUESTION,Practice_Q
NA,NA,NA,NA,2.3.5,SWF financial reporting rules,NA,INDICATOR,Law
NA,Precept 7:Revenue Distribution,Precept 8:Revenue Volatility,157,2.3.5a,SWF annual financial reporting requirement,Is the sovereign wealth fund required to produce annual financial reports?,QUESTION,Law_Q
NA,Precept 7:Revenue Distribution,Precept 8:Revenue Volatility,158,2.3.5b,SWF financial report disclosure rule,Is the sovereign wealth fund required to publicly disclose these annual financial reports?,QUESTION,Law_Q
NA,Precept 7:Revenue Distribution,Precept 8:Revenue Volatility,165,2.3.5c,SWF financial audit requirement,Do rules require an external body to periodically audit the sovereign wealth fund's annual financial reports?,QUESTION,Law_Q
NA,Precept 7:Revenue Distribution,Precept 8:Revenue Volatility,167,2.3.5d,SWF legislative review requirement,Is the legislature required to review the sovereign wealth fund's annual financial reports?,QUESTION,Law_Q
NA,NA,NA,NA,2.3.6,SWF financial reporting practice,NA,INDICATOR,Practice
NA,Precept 7:Revenue Distribution,Precept 8:Revenue Volatility,159,2.3.6a,SWF financial report disclosure,Does the sovereign wealth fund publicly disclose its annual financial reports?,QUESTION,Practice_Q
NA,Precept 7:Revenue Distribution,Precept 8:Revenue Volatility,166,2.3.6b,SWF financial audit timeframe,Were these annual financial reports audited over the most recently completed audit timeframe?,QUESTION,Practice_Q
NA,Precept 7:Revenue Distribution,Precept 8:Revenue Volatility,168,2.3.6c,SWF legislative review,"From 2015 onwards, has the legislature reviewed the sovereign wealth fund's annual financial reports?",QUESTION,Practice_Q
NA,NA,NA,NA,3,Enabling environment,NA,COMPONENT,NA
NA,NA,Precept 2:Accountability and Transparency,NA,3.1,Voice and accountability,NA,SUB-COMPONENT,NA
NA,NA,Precept 2:Accountability and Transparency,NA,3.2,Government effectiveness,NA,SUB-COMPONENT,NA
NA,NA,Precept 2:Accountability and Transparency,NA,3.3,Regulatory quality,NA,SUB-COMPONENT,NA
NA,NA,Precept 2:Accountability and Transparency,NA,3.4,Rule of law,NA,SUB-COMPONENT,NA
NA,NA,Precept 2:Accountability and Transparency,NA,3.5,Control of corruption,NA,SUB-COMPONENT,NA
NA,NA,Precept 2:Accountability and Transparency,NA,3.6,Political stability and absence of violence,NA,SUB-COMPONENT,NA
NA,NA,Precept 2:Accountability and Transparency,NA,3.7,Open data,NA,SUB-COMPONENT,NA
NA,NA,Precept 2:Accountability and Transparency,NA,3.7.1,Open data inventory,NA,INDICATOR,NA
NA,NA,Precept 2:Accountability and Transparency,NA,3.7.2,Open data barometer,NA,INDICATOR,NA
NA,NA,Precept 2:Accountability and Transparency,NA,3.7.3,Open data index,NA,INDICATOR,NA
NA,NA,"Precept 1: Strategy, Consultation and Institutions",1,1.1a,Resources ownership definition,How does the country legally define the ownership of subsoil extractive resources?,NON-SCORING,Information only - does not contribute to country score
NA,NA,"Precept 1: Strategy, Consultation and Institutions",24,1.1b,Licensing authority,Who is the licensing authority (i.e. who has the authority to grant exploration and extraction rights to companies)?,NON-SCORING,Information only - does not contribute to country score
NA,NA,Precept 3:Exploration and License Allocation,26,1.1c,Licensing process,What licensing process does the licensing authority follow?,NON-SCORING,Information only - does not contribute to country score
NA,Precept 2:Accountability and Transparency,Precept 3:Exploration and License Allocation,36,1.1.10c,License compliance authority,Who has the primary authority to monitor compliance with the operational aspects of licenses/contracts?,NON-SCORING,Information only - does not contribute to country score
NA,Precept 2:Accountability and Transparency,Precept 3:Exploration and License Allocation,44,1.1.10d,License ratification,Is the legislature required to ratify licenses/contracts?,NON-SCORING,Information only - does not contribute to country score
NA,NA,Precept 4:Taxation,48,1.2a,Extractives fiscal system,What is the fiscal system for extractive resources?,NON-SCORING,Information only - does not contribute to country score
NA,NA,Precept 4:Taxation,55,1.2.5f,Tax authority,Who is the tax authority (i.e. who has the authority to collect taxes and payments from extractive companies)?,NON-SCORING,Information only - does not contribute to country score
NA,NA,Precept 6:Nationally Owned Resource Companies,79,1.4a,Government equity shares,What proportion of equity shares does the government own in extractive companies?,NON-SCORING,Information only - does not contribute to country score
NA,NA,Precept 6:Nationally Owned Resource Companies,102,1.4b,SOE production sharing,Does the SOE receive a production share or in-kind payments from extractive companies?,NON-SCORING,Information only - does not contribute to country score
Precept 5:Local Effects,Precept 7:Revenue Distribution,Precept 9:Government Spending,128,2.2a,Subnational resource revenue transfer,Does the central government transfer extractive resource revenues to subnational governments?,NON-SCORING,Information only - does not contribute to country score
Precept 5:Local Effects,Precept 7:Revenue Distribution,Precept 9:Government Spending,129,2.2b,Subnational resource revenue transfer rules,Are there specific rules governing the transfer of extractive resource revenues (i.e. are these rules distinct from those governing other types of transfers)?,NON-SCORING,Information only - does not contribute to country score
Precept 5:Local Effects,Precept 7:Revenue Distribution,Precept 9:Government Spending,130,2.2c,Subnational resource revenue transfer shares,Do rules specify that subnational governments of producing areas should receive a higher share of extractive resource revenues than those of non-producing areas?,NON-SCORING,Information only - does not contribute to country score
NA,Precept 2:Accountability and Transparency,Precept 8:Revenue Volatility,144,2.3a,Sovereign wealth fund existence,Does the country have a natural resource fund which is funded by extractive resource revenues?,NON-SCORING,Information only - does not contribute to country score
NA,NA,NA,49,2.1a,Fiscal year,When does the country's fiscal year start and end?,NON-SCORING,NA
NA,NA,NA,80,1.4c,Largest SOE,What is the name of the largest company in which the government has a controlling share (i.e. an SOE)?,NON-SCORING,NA
NA,NA,NA,145,2.3b,Largest sovereign wealth fund,"If there are multiple natural resource funds, which is the largest?",NON-SCORING,NA
