Q,Component,Question,QuestionLabel,Subcomponent,Indicator,LawOrPractice,Element name,Scoring,Precepts
145,Enabling environment,"If there are multiple natural resource funds, which is the largest?",2.3b,Open data,Open data index,neither,Largest sovereign wealth fund,non-scoring,[]
146,Revenue management,Are there numeric rules governing the size of withdrawals from the sovereign wealth fund?,2.3.1a,Sovereign wealth funds,SWF deposit and withdrawal rules,law,SWF withdrawal rule,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
147,Revenue management,"From 2015 onwards, has the government adhered to the numeric rules governing the size of withdrawals from sovereign wealth funds?",2.3.2c,Sovereign wealth funds,SWF deposit and withdrawal practice,practice,SWF withdrawal rule adherence,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
148,Revenue management,Do rules require that withdrawals and spending from the sovereign wealth fund pass through the national budget?,2.3.1b,Sovereign wealth funds,SWF deposit and withdrawal rules,law,SWF national budget review requirement,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
149,Revenue management,"From 2015 onwards, have withdrawals and spending from the sovereign wealth fund actually passed through the national budget?",2.3.4d,Sovereign wealth funds,SWF investment practice,practice,SWF national budget review practice,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
150,Revenue management,Are there numeric rules governing the size of deposits into the sovereign wealth fund?,2.3.1c,Sovereign wealth funds,SWF deposit and withdrawal rules,law,SWF deposit rule,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
151,Revenue management,"From 2015 onwards, has the government adhered to the numeric rules governing the size of deposits into the sovereign wealth fund?",2.3.2d,Sovereign wealth funds,SWF deposit and withdrawal practice,practice,SWF deposit rule adherence,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
154,Revenue management,Is the sovereign wealth fund prohibited from investing in domestic assets without budgetary approval?,2.3.3a,Sovereign wealth funds,SWF investment rules,law,SWF domestic investment rule,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
155,Revenue management,Is the sovereign wealth fund prohibited from investing in certain asset classes or investment types?,2.3.3b,Sovereign wealth funds,SWF investment rules,law,SWF asset class rule,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
156,Revenue management,"From 2015 onwards, has the sovereign wealth fund adhered to rules limiting asset class or investment types?",2.3.4e,Sovereign wealth funds,SWF investment practice,practice,SWF asset class rule adherence,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
157,Revenue management,Is the sovereign wealth fund required to produce annual financial reports?,2.3.5a,Sovereign wealth funds,SWF financial reporting rules,law,SWF annual financial reporting requirement,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
158,Revenue management,Is the sovereign wealth fund required to publicly disclose these annual financial reports?,2.3.5b,Sovereign wealth funds,SWF financial reporting rules,law,SWF financial report disclosure rule,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
159,Revenue management,Does the sovereign wealth fund publicly disclose its annual financial reports?,2.3.6a,Sovereign wealth funds,SWF financial reporting practice,practice,SWF financial report disclosure,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
160,Revenue management,Does the sovereign wealth fund's most recent publicly available annual financial report specify†the size of the fund?,2.3.2a,Sovereign wealth funds,SWF deposit and withdrawal practice,practice,SWF size of fund disclosure,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
161,Revenue management,Does the sovereign wealth fund's most recent publicly available annual financial report disclose?,2.3.2b,Sovereign wealth funds,SWF deposit and withdrawal practice,practice,SWF deposit and withdrawal amounts disclosure,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
162,Revenue management,Does the sovereign wealth fund's most recent publicly available annual financial report specify†the rate of return made on its investments?,2.3.4a,Sovereign wealth funds,SWF investment practice,practice,SWF rate of return disclosure,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
163,Revenue management,Does the sovereign wealth fund's most recent publicly available annual financial report include a list of assets held?,2.3.4b,Sovereign wealth funds,SWF investment practice,practice,SWF assets held disclosure,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
164,Revenue management,Does the sovereign wealth fund's most recent publicly available annual financial report specify the fund's†asset allocation by asset class?,2.3.4c,Sovereign wealth funds,SWF investment practice,practice,SWF asset class disclosure,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
165,Revenue management,Do rules require an external body to periodically audit the sovereign wealth fund's annual financial reports?,2.3.5c,Sovereign wealth funds,SWF financial reporting rules,law,SWF financial audit requirement,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
166,Revenue management,Were these annual financial reports audited over the most recently completed audit timeframe?,2.3.6b,Sovereign wealth funds,SWF financial reporting practice,practice,SWF financial audit timeframe,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
167,Revenue management,Is the legislature required to review the sovereign wealth fund's annual financial reports?,2.3.5d,Sovereign wealth funds,SWF financial reporting rules,law,SWF legislative review requirement,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
168,Revenue management,"From 2015 onwards, has the legislature reviewed the sovereign wealth fund's annual financial reports?",2.3.6c,Sovereign wealth funds,SWF financial reporting practice,practice,SWF legislative review,scoring,"[""Precept 7: Revenue Distribution"", ""Precept 8: Revenue Volatility""]"
169,Value realization,Does a government agency maintain a publicly available registry of rights and license details (i.e. a cadaster)?,1.1.2a,Licensing,Cadaster,practice,Cadaster coverage,scoring,[]
